[2025-06-09 11:52:28,600] INFO - database.loading_clients:60 - Датафрейм загружен на слой staging.
[2025-06-09 15:32:06,864] INFO - database.loading_usage:80 - Датафрейм загружен на слой staging.
[2025-06-09 15:32:06,864] INFO - database.reading_file:44 - Загрузка файла {file_name} на слой staging успешно завершена
[2025-06-09 15:32:06,919] INFO - database.load_datamart:170 - Датафрейм загружен в витрину.
[2025-06-09 17:21:56,438] INFO - database.create_table:113 - Таблица {name} успешно создана
[2025-06-09 17:21:56,441] INFO - database.create_table:113 - Таблица {name} успешно создана
[2025-06-09 17:21:56,442] INFO - database.create_table:113 - Таблица {name} успешно создана
[2025-06-09 17:21:56,444] INFO - database.seq_restart:34 - Последовательность {name} сброшена
[2025-06-09 17:21:56,448] INFO - database.seq_restart:34 - Последовательность {name} сброшена
[2025-06-09 17:21:56,507] INFO - database.loading_clients:62 - Датафрейм загружен на слой staging.
[2025-06-09 17:21:56,508] INFO - database.reading_file:44 - Загрузка файла {file_name} на слой staging успешно завершена
[2025-06-09 17:21:56,558] INFO - database.loading_usage:80 - Датафрейм загружен на слой staging.
[2025-06-09 17:21:56,559] INFO - database.reading_file:44 - Загрузка файла {file_name} на слой staging успешно завершена
[2025-06-09 17:21:56,606] INFO - database.load_datamart:170 - Датафрейм загружен в витрину.
